time_sec,amplitude
0.000000,0.000000
0.001063,0.000000
0.002125,0.000000
0.003187,0.000000
0.004250,0.000000
0.005313,0.000000
0.006375,0.000000
0.007437,0.000000
0.008500,0.000000
0.009562,0.000000
0.010625,0.000000
0.011687,0.000000
0.012750,0.000000
0.013813,0.000000
0.014875,0.000000
0.015938,0.000000
0.017000,0.000000
0.018062,0.000000
0.019125,0.000000
0.020188,0.000000
0.021250,0.000000
0.022312,0.000000
0.023375,0.000000
0.024438,0.000000
0.025500,0.000000
0.026562,0.000000
0.027625,0.000000
0.028688,0.000000
0.029750,0.000000
0.030812,0.000000
0.031875,0.000000
0.032938,0.000000
0.034000,0.000000
0.035063,0.000000
0.036125,0.000000
0.037187,0.000000
0.038250,0.000000
0.039313,0.000000
0.040375,0.000000
0.041438,0.000000
0.042500,0.000000
0.043562,0.000000
0.044625,0.000000
0.045687,0.000000
0.046750,0.000000
0.047813,0.000000
0.048875,0.000000
0.049938,0.000000
0.051000,0.000000
0.052062,0.000000
0.053125,0.000000
0.054187,0.000000
0.055250,0.000000
0.056313,-0.000015
0.057375,-0.000015
0.058438,0.000031
0.059500,0.000061
0.060562,-0.000092
0.061625,-0.000137
0.062687,0.000137
0.063750,0.000092
0.064812,-0.000076
0.065875,-0.000031
0.066937,0.000015
0.068000,-0.000031
0.069062,-0.000046
0.070125,-0.000015
0.071188,0.000015
0.072250,0.000046
0.073313,0.000046
0.074375,0.000092
0.075438,0.000107
0.076500,0.000198
0.077563,0.000046
0.078625,0.000046
0.079687,0.000061
0.080750,-0.000031
0.081812,-0.000122
0.082875,-0.000168
0.083937,-0.000320
0.085000,-0.000397
0.086063,-0.000351
0.087125,-0.000168
0.088188,-0.000137
0.089250,-0.000015
0.090313,0.000000
0.091375,0.000412
0.092438,0.000397
0.093500,-0.000015
0.094562,0.000290
0.095625,0.000229
0.096687,0.000168
0.097750,0.000153
0.098812,-0.000412
0.099875,-0.000595
0.100937,-0.000397
0.102000,0.000107
0.103063,0.000198
0.104125,0.000366
0.105188,0.000183
0.106250,0.000137
0.107313,0.000015
0.108375,-0.000031
0.109437,0.000000
0.110500,-0.000046
0.111562,-0.000381
0.112625,0.000076
0.113687,-0.000061
0.114750,0.000198
0.115812,0.000824
0.116875,0.000885
0.117938,0.000641
0.119000,0.000473
0.120063,0.000702
0.121125,0.000000
0.122188,-0.000534
0.123250,-0.000656
0.124313,-0.001083
0.125375,-0.000732
0.126438,-0.000580
0.127500,-0.000519
0.128562,-0.000031
0.129625,-0.000107
0.130688,-0.000168
0.131750,-0.000565
0.132812,-0.000488
0.133875,-0.000137
0.134937,-0.000168
0.136000,-0.000107
0.137063,0.000275
0.138125,0.000671
0.139187,0.001251
0.140250,0.001801
0.141313,0.002029
0.142375,0.001801
0.143437,0.001892
0.144500,0.001251
0.145563,0.000137
0.146625,-0.000320
0.147687,-0.000961
0.148750,-0.001740
0.149812,-0.002594
0.150875,-0.003067
0.151938,-0.003342
0.153000,-0.003082
0.154062,-0.002472
0.155125,-0.002197
0.156188,-0.000641
0.157250,0.000320
0.158312,0.000687
0.159375,0.001678
0.160438,0.002350
0.161500,0.002533
0.162562,0.002808
0.163625,0.003128
0.164687,0.002853
0.165750,0.002289
0.166813,0.001709
0.167875,0.001144
0.168937,0.000290
0.170000,-0.000793
0.171063,-0.001556
0.172125,-0.001923
0.173187,-0.002609
0.174250,-0.002975
0.175313,-0.002594
0.176375,-0.002075
0.177437,-0.001709
0.178500,-0.000732
0.179563,-0.000366
0.180625,0.000290
0.181688,0.000244
0.182750,0.000351
0.183812,0.000351
0.184875,0.000824
0.185938,0.001221
0.187000,0.001770
0.188062,0.001907
0.189125,0.001740
0.190188,0.001358
0.191250,0.001358
0.192312,0.000931
0.193375,0.000427
0.194438,-0.000046
0.195500,-0.000534
0.196563,-0.000916
0.197625,-0.001144
0.198687,-0.001770
0.199750,-0.001831
0.200813,-0.002258
0.201875,-0.001984
0.202937,-0.001755
0.204000,-0.001434
0.205063,-0.001312
0.206125,-0.001099
0.207187,-0.000198
0.208250,0.000519
0.209313,0.001495
0.210375,0.001968
0.211438,0.002563
0.212500,0.002975
0.213562,0.002869
0.214625,0.002762
0.215688,0.002014
0.216750,0.000992
0.217812,-0.000412
0.218875,-0.001312
0.219938,-0.002075
0.221000,-0.002579
0.222062,-0.002640
0.223125,-0.002151
0.224188,-0.001678
0.225250,-0.001358
0.226312,-0.001083
0.227375,-0.000534
0.228437,-0.000275
0.229500,0.000519
0.230563,0.001099
0.231625,0.002029
0.232687,0.002060
0.233750,0.002060
0.234813,0.001877
0.235875,0.001678
0.236937,0.001114
0.238000,0.000473
0.239063,0.000305
0.240125,-0.000473
0.241187,-0.000824
0.242250,-0.001678
0.243312,-0.001877
0.244375,-0.002197
0.245438,-0.001907
0.246500,-0.001755
0.247562,-0.001419
0.248625,-0.001236
0.249688,-0.000641
0.250750,-0.000153
0.251812,0.000336
0.252875,0.000916
0.253937,0.001343
0.255000,0.001801
0.256063,0.001892
0.257125,0.001999
0.258188,0.001953
0.259250,0.001602
0.260313,0.001053
0.261375,0.000748
0.262437,0.000244
0.263500,0.000137
0.264562,-0.000107
0.265625,-0.000305
0.266688,-0.000778
0.267750,-0.000839
0.268813,-0.001175
0.269875,-0.001526
0.270937,-0.001785
0.272000,-0.002014
0.273062,-0.001984
0.274125,-0.001740
0.275187,-0.001938
0.276250,-0.001343
0.277313,-0.000702
0.278375,-0.000183
0.279438,0.000504
0.280500,0.001038
0.281562,0.001358
0.282625,0.002090
0.283687,0.002396
0.284750,0.002533
0.285813,0.002472
0.286875,0.002274
0.287938,0.002319
0.289000,0.002045
0.290063,0.001663
0.291125,0.000992
0.292187,0.000702
0.293250,-0.000305
0.294312,-0.001312
0.295375,-0.002502
0.296438,-0.003082
0.297500,-0.003555
0.298563,-0.003677
0.299625,-0.003403
0.300687,-0.002533
0.301750,-0.001892
0.302812,-0.001450
0.303875,-0.000687
0.304937,-0.000244
0.306000,0.000061
0.307063,0.000381
0.308125,0.000656
0.309188,0.001144
0.310250,0.001160
0.311312,0.001999
0.312375,0.002701
0.313437,0.003250
0.314500,0.004150
0.315563,0.004059
0.316625,0.003662
0.317688,0.002701
0.318750,0.001801
0.319812,0.000702
0.320875,-0.000320
0.321937,-0.001328
0.323000,-0.002441
0.324062,-0.002914
0.325125,-0.004242
0.326188,-0.004868
0.327250,-0.005051
0.328313,-0.004257
0.329375,-0.003250
0.330437,-0.002106
0.331500,-0.001068
0.332562,0.000183
0.333625,0.000977
0.334688,0.001785
0.335750,0.002457
0.336813,0.003082
0.337875,0.003357
0.338938,0.003510
0.340000,0.003311
0.341062,0.002975
0.342125,0.002548
0.343187,0.001984
0.344250,0.000854
0.345313,-0.000122
0.346375,-0.001297
0.347438,-0.002182
0.348500,-0.002777
0.349562,-0.002869
0.350625,-0.002365
0.351687,-0.001938
0.352750,-0.001526
0.353812,-0.001205
0.354875,-0.000946
0.355938,-0.000717
0.357000,-0.000504
0.358063,-0.000137
0.359125,0.000427
0.360187,0.000519
0.361250,0.000732
0.362312,0.001068
0.363375,0.001160
0.364438,0.000885
0.365500,0.000763
0.366563,0.000977
0.367625,0.001160
0.368688,0.001389
0.369750,0.001694
0.370812,0.001770
0.371875,0.001312
0.372937,0.000610
0.374000,0.000046
0.375063,-0.001022
0.376125,-0.001892
0.377188,-0.002182
0.378250,-0.002457
0.379312,-0.002563
0.380375,-0.002396
0.381437,-0.002258
0.382500,-0.002045
0.383562,-0.001373
0.384625,-0.000427
0.385688,-0.000107
0.386750,0.000656
0.387813,0.001205
0.388875,0.001648
0.389937,0.002213
0.391000,0.002258
