frequency_hz,magnitude,magnitude_normalized
0.000000,1.893906,0.012003
2.929688,1.896302,0.012018
5.859375,1.898797,0.012034
8.789062,1.888889,0.011971
11.718750,1.890710,0.011983
14.648438,1.908074,0.012093
17.578125,1.991225,0.012620
20.507812,1.928875,0.012225
23.437500,1.938237,0.012284
26.367188,1.822273,0.011549
29.296875,1.780183,0.011282
32.226562,2.292720,0.014530
35.156250,1.757758,0.011140
38.085938,9.812698,0.062189
41.015625,0.977369,0.006194
43.945312,7.714128,0.048889
46.875000,2.145724,0.013599
49.804688,2.738028,0.017353
52.734375,1.235892,0.007833
55.664062,2.749681,0.017426
58.593750,2.690706,0.017053
61.523438,1.938695,0.012287
64.453125,3.185844,0.020191
67.382812,1.660966,0.010527
70.312500,2.388299,0.015136
73.242188,1.819622,0.011532
76.171875,1.597185,0.010122
79.101562,5.763106,0.036524
82.031250,6.633201,0.042039
84.960938,2.049608,0.012990
87.890625,0.804960,0.005102
90.820312,1.329484,0.008426
93.750000,1.593881,0.010101
96.679688,1.288052,0.008163
99.609375,0.606807,0.003846
102.539062,1.631490,0.010340
105.468750,1.123353,0.007119
108.398438,1.440667,0.009130
111.328125,0.799188,0.005065
114.257812,1.351460,0.008565
117.187500,1.539438,0.009756
120.117188,1.273207,0.008069
123.046875,1.820596,0.011538
125.976562,1.478247,0.009369
128.906250,1.906417,0.012082
131.835938,1.338478,0.008483
134.765625,1.289194,0.008170
137.695312,2.349992,0.014893
140.625000,2.003708,0.012699
143.554688,2.236150,0.014172
146.484375,2.054805,0.013023
149.414062,2.123822,0.013460
152.343750,1.887785,0.011964
155.273438,2.228806,0.014125
158.203125,2.246863,0.014240
161.132812,2.180184,0.013817
164.062500,2.212392,0.014021
166.992188,2.186192,0.013855
169.921875,2.220129,0.014070
172.851562,2.589351,0.016410
175.781250,2.025362,0.012836
178.710938,2.470882,0.015660
181.640625,2.514141,0.015934
184.570312,3.048960,0.019323
187.500000,2.268987,0.014380
190.429688,2.815302,0.017842
193.359375,2.847031,0.018043
196.289062,2.677471,0.016969
199.218750,2.865272,0.018159
202.148438,2.936038,0.018608
205.078125,3.199994,0.020280
208.007812,2.999404,0.019009
210.937500,3.202479,0.020296
213.867188,3.573280,0.022646
216.796875,3.808061,0.024134
219.726562,3.848004,0.024387
