frequency_hz,magnitude,magnitude_normalized
0.000000,0.950912,0.002965
2.929688,0.949335,0.002960
5.859375,0.944740,0.002946
8.789062,1.092111,0.003405
11.718750,1.026768,0.003201
14.648438,1.093064,0.003408
17.578125,1.055045,0.003290
20.507812,1.160605,0.003619
23.437500,1.311611,0.004090
26.367188,1.217667,0.003797
29.296875,3.325922,0.010370
32.226562,4.848709,0.015118
35.156250,5.081576,0.015844
38.085938,18.490164,0.057651
41.015625,8.169812,0.025473
43.945312,25.257406,0.078751
46.875000,3.879497,0.012096
49.804688,5.477713,0.017079
52.734375,7.379501,0.023009
55.664062,19.384230,0.060439
58.593750,2.878378,0.008975
61.523438,6.791905,0.021177
64.453125,3.870673,0.012069
67.382812,3.141259,0.009794
70.312500,3.654984,0.011396
73.242188,0.989647,0.003086
76.171875,3.956262,0.012335
79.101562,5.574012,0.017379
82.031250,6.405063,0.019971
84.960938,1.768945,0.005515
87.890625,2.688329,0.008382
90.820312,0.998067,0.003112
93.750000,1.698065,0.005294
96.679688,2.377863,0.007414
99.609375,2.880552,0.008981
102.539062,1.308297,0.004079
105.468750,0.950941,0.002965
108.398438,0.566143,0.001765
111.328125,0.806288,0.002514
114.257812,0.773703,0.002412
117.187500,1.091846,0.003404
120.117188,1.801010,0.005615
123.046875,0.563828,0.001758
125.976562,1.189918,0.003710
128.906250,1.061382,0.003309
131.835938,1.099327,0.003428
134.765625,0.490752,0.001530
137.695312,1.344194,0.004191
140.625000,1.515220,0.004724
143.554688,1.033821,0.003223
146.484375,0.594914,0.001855
149.414062,2.297470,0.007163
152.343750,1.496329,0.004665
155.273438,1.295956,0.004041
158.203125,1.113636,0.003472
161.132812,1.142464,0.003562
164.062500,1.326587,0.004136
166.992188,1.049038,0.003271
169.921875,1.743538,0.005436
172.851562,1.949505,0.006078
175.781250,2.079343,0.006483
178.710938,1.364805,0.004255
181.640625,1.989876,0.006204
184.570312,1.778766,0.005546
187.500000,2.012712,0.006276
190.429688,1.866846,0.005821
193.359375,2.063163,0.006433
196.289062,2.584474,0.008058
199.218750,2.181230,0.006801
202.148438,2.978109,0.009286
205.078125,2.660562,0.008296
208.007812,3.731510,0.011635
210.937500,3.149078,0.009819
213.867188,5.684348,0.017724
216.796875,3.477374,0.010842
219.726562,3.607952,0.011249
222.656250,3.786073,0.011805
225.585938,4.721159,0.014720
228.515625,5.203720,0.016225
231.445312,5.775021,0.018006
234.375000,6.528684,0.020356
237.304688,7.341192,0.022889
240.234375,7.638115,0.023815
243.164062,9.872826,0.030783
246.093750,11.969530,0.037320
249.023438,14.451707,0.045060
251.953125,20.108221,0.062696
254.882812,29.814678,0.092961
257.812500,53.633934,0.167228
260.742188,320.723400,1.000000
263.671875,83.220801,0.259478
266.601562,36.887291,0.115013
269.531250,24.194322,0.075437
272.460938,17.567040,0.054773
275.390625,13.827234,0.043113
278.320312,12.001707,0.037421
281.250000,9.983642,0.031129
284.179688,9.022941,0.028133
287.109375,7.909344,0.024661
290.039062,7.171975,0.022362
292.968750,7.041990,0.021957
295.898438,5.485558,0.017104
298.828125,5.042872,0.015723
301.757812,4.796623,0.014956
304.687500,4.609211,0.014371
307.617188,3.673883,0.011455
310.546875,4.729629,0.014747
313.476562,4.392010,0.013694
316.406250,4.114957,0.012830
319.335938,3.838493,0.011968
322.265625,3.369304,0.010505
325.195312,4.037013,0.012587
328.125000,3.697825,0.011530
331.054688,3.238154,0.010096
333.984375,3.399374,0.010599
336.914062,3.231021,0.010074
339.843750,2.933846,0.009148
342.773438,2.878354,0.008975
345.703125,3.208381,0.010004
348.632812,2.946733,0.009188
351.562500,2.500962,0.007798
354.492188,2.907513,0.009065
357.421875,2.326972,0.007255
360.351562,2.044454,0.006375
363.281250,2.340683,0.007298
366.210938,2.411454,0.007519
369.140625,2.596672,0.008096
372.070312,2.066382,0.006443
