frequency_hz,magnitude,magnitude_normalized
0.000000,1.141174,0.017023
2.929688,1.148807,0.017136
5.859375,1.159691,0.017299
8.789062,1.183677,0.017657
11.718750,1.213615,0.018103
14.648438,1.260836,0.018808
17.578125,1.320217,0.019693
20.507812,1.413531,0.021085
23.437500,1.435842,0.021418
26.367188,1.621356,0.024185
29.296875,1.729991,0.025806
32.226562,2.979293,0.044441
35.156250,3.439020,0.051299
38.085938,11.305425,0.168640
41.015625,5.165217,0.077048
43.945312,11.977798,0.178670
46.875000,5.794662,0.086438
49.804688,3.993429,0.059569
52.734375,1.734481,0.025873
55.664062,1.916697,0.028591
58.593750,2.410395,0.035955
61.523438,0.919817,0.013721
64.453125,1.440380,0.021486
67.382812,1.583702,0.023624
70.312500,1.452444,0.021666
73.242188,2.112989,0.031519
76.171875,2.659467,0.039671
79.101562,4.553945,0.067930
82.031250,6.345563,0.094655
84.960938,3.845277,0.057359
87.890625,1.312330,0.019576
90.820312,1.422591,0.021220
93.750000,0.281359,0.004197
96.679688,0.978201,0.014592
99.609375,1.252674,0.018686
102.539062,0.255714,0.003814
105.468750,0.801756,0.011960
108.398438,1.665381,0.024842
111.328125,1.155657,0.017239
114.257812,1.276487,0.019041
117.187500,0.993954,0.014827
120.117188,1.473364,0.021978
123.046875,0.181467,0.002707
125.976562,0.070100,0.001046
128.906250,0.662432,0.009881
131.835938,0.883433,0.013178
134.765625,0.515967,0.007697
137.695312,0.563717,0.008409
140.625000,1.317572,0.019654
143.554688,0.944065,0.014082
146.484375,0.770897,0.011499
149.414062,1.007629,0.015031
152.343750,0.302155,0.004507
155.273438,0.346212,0.005164
158.203125,0.487107,0.007266
161.132812,0.891716,0.013302
164.062500,0.766662,0.011436
166.992188,0.369999,0.005519
169.921875,0.758275,0.011311
172.851562,0.898988,0.013410
175.781250,0.432250,0.006448
178.710938,0.530285,0.007910
181.640625,0.815619,0.012166
184.570312,0.339629,0.005066
187.500000,0.393221,0.005866
190.429688,0.963530,0.014373
193.359375,0.597366,0.008911
196.289062,0.563934,0.008412
199.218750,0.616208,0.009192
202.148438,0.743880,0.011096
205.078125,0.837214,0.012489
208.007812,0.823766,0.012288
210.937500,0.860222,0.012832
213.867188,0.945502,0.014104
216.796875,0.770812,0.011498
219.726562,0.756923,0.011291
222.656250,1.106303,0.016502
225.585938,1.117521,0.016670
228.515625,1.046883,0.015616
231.445312,1.087841,0.016227
234.375000,1.283577,0.019147
237.304688,1.154045,0.017215
240.234375,1.090323,0.016264
243.164062,0.971530,0.014492
246.093750,1.050451,0.015669
249.023438,1.225811,0.018285
251.953125,1.248140,0.018618
254.882812,1.376794,0.020537
257.812500,1.261857,0.018823
260.742188,1.355126,0.020214
263.671875,1.501000,0.022390
266.601562,0.813690,0.012138
269.531250,1.787253,0.026660
272.460938,1.620959,0.024179
275.390625,2.082222,0.031060
278.320312,2.009102,0.029969
281.250000,1.847447,0.027558
284.179688,1.872936,0.027938
287.109375,2.005294,0.029912
290.039062,2.363712,0.035259
292.968750,2.634146,0.039293
295.898438,2.934246,0.043769
298.828125,3.304579,0.049294
301.757812,3.203562,0.047787
304.687500,3.608121,0.053821
307.617188,4.324119,0.064502
310.546875,4.746706,0.070805
313.476562,5.727520,0.085436
316.406250,6.585434,0.098233
319.335938,9.291019,0.138592
322.265625,13.149435,0.196147
325.195312,21.009169,0.313389
328.125000,67.038714,1.000000
331.054688,58.095613,0.866598
333.984375,20.533541,0.306294
336.914062,11.002864,0.164127
339.843750,9.348569,0.139450
342.773438,6.838912,0.102014
345.703125,5.040522,0.075188
348.632812,4.378632,0.065315
351.562500,4.168388,0.062179
354.492188,3.862795,0.057620
357.421875,3.552434,0.052991
360.351562,2.896187,0.043202
363.281250,2.490608,0.037152
366.210938,2.672544,0.039866
369.140625,2.068465,0.030855
372.070312,2.124750,0.031694
375.000000,1.519897,0.022672
377.929688,2.446093,0.036488
380.859375,2.279115,0.033997
383.789062,2.009021,0.029968
386.718750,1.416455,0.021129
389.648438,1.460973,0.021793
392.578125,1.420238,0.021185
395.507812,1.145343,0.017085
398.437500,1.330827,0.019852
401.367188,1.287733,0.019209
404.296875,1.339754,0.019985
407.226562,1.015024,0.015141
410.156250,0.936905,0.013976
413.085938,1.090661,0.016269
416.015625,1.077710,0.016076
418.945312,1.006652,0.015016
421.875000,0.786277,0.011729
424.804688,0.780349,0.011640
427.734375,0.656247,0.009789
430.664062,0.877829,0.013094
433.593750,0.743358,0.011088
