frequency_hz,magnitude,magnitude_normalized
0.000000,6.599960,0.015190
2.929688,6.588625,0.015163
5.859375,6.637585,0.015276
8.789062,6.684867,0.015385
11.718750,6.753019,0.015542
14.648438,6.878891,0.015831
17.578125,6.921696,0.015930
20.507812,6.990710,0.016089
23.437500,7.319063,0.016844
26.367188,6.756314,0.015549
29.296875,9.506971,0.021880
32.226562,8.130224,0.018711
35.156250,5.165269,0.011888
38.085938,17.515606,0.040311
41.015625,17.767767,0.040892
43.945312,13.106644,0.030164
46.875000,15.076818,0.034699
49.804688,11.638488,0.026785
52.734375,12.102603,0.027854
55.664062,23.864175,0.054922
58.593750,30.443166,0.070064
61.523438,52.467248,0.120751
64.453125,202.450325,0.465930
67.382812,54.243179,0.124838
70.312500,30.151174,0.069392
73.242188,17.112964,0.039385
76.171875,15.137485,0.034838
79.101562,29.214930,0.067237
82.031250,7.233633,0.016648
84.960938,18.172860,0.041824
87.890625,14.865242,0.034212
90.820312,23.624829,0.054372
93.750000,28.592723,0.065805
96.679688,75.578616,0.173941
99.609375,31.369521,0.072196
102.539062,4.853405,0.011170
105.468750,8.842916,0.020352
108.398438,12.050385,0.027733
111.328125,18.578756,0.042758
114.257812,27.675517,0.063694
117.187500,40.004357,0.092068
120.117188,49.993438,0.115058
123.046875,73.831383,0.169920
125.976562,127.033849,0.292363
128.906250,373.311850,0.859161
131.835938,434.507576,1.000000
134.765625,148.772834,0.342394
137.695312,91.944734,0.211607
140.625000,68.257088,0.157091
143.554688,53.821468,0.123868
146.484375,49.281867,0.113420
149.414062,46.267769,0.106483
152.343750,43.392256,0.099865
155.273438,44.955326,0.103463
158.203125,53.462211,0.123041
161.132812,93.048727,0.214148
164.062500,175.253527,0.403338
166.992188,23.330949,0.053695
169.921875,6.634676,0.015269
172.851562,2.340195,0.005386
175.781250,3.703434,0.008523
178.710938,7.116952,0.016379
181.640625,6.112498,0.014068
184.570312,3.361557,0.007736
187.500000,4.727689,0.010881
190.429688,5.934749,0.013659
193.359375,10.927237,0.025149
196.289062,116.376084,0.267834
199.218750,18.896279,0.043489
202.148438,13.474068,0.031010
205.078125,11.523078,0.026520
208.007812,11.113250,0.025577
210.937500,9.400176,0.021634
213.867188,8.858887,0.020388
216.796875,8.543476,0.019662
219.726562,9.248363,0.021285
222.656250,9.268779,0.021332
225.585938,10.888888,0.025060
228.515625,52.136627,0.119990
231.445312,1.208663,0.002782
234.375000,4.142496,0.009534
237.304688,4.350620,0.010013
240.234375,4.649497,0.010701
243.164062,5.497595,0.012652
246.093750,5.958769,0.013714
249.023438,3.855335,0.008873
251.953125,4.061258,0.009347
254.882812,5.600095,0.012888
257.812500,2.897115,0.006668
260.742188,5.751702,0.013237
263.671875,1.920812,0.004421
266.601562,2.764183,0.006362
269.531250,2.809166,0.006465
272.460938,2.497095,0.005747
275.390625,2.492721,0.005737
278.320312,2.048680,0.004715
281.250000,4.369151,0.010055
284.179688,4.408858,0.010147
287.109375,8.156794,0.018773
290.039062,14.916912,0.034331
292.968750,52.273638,0.120305
295.898438,66.849371,0.153851
298.828125,25.045447,0.057641
301.757812,17.057135,0.039256
304.687500,13.418204,0.030881
307.617188,13.169598,0.030309
310.546875,10.637672,0.024482
313.476562,10.651599,0.024514
316.406250,11.152159,0.025666
319.335938,11.514021,0.026499
322.265625,16.005568,0.036836
325.195312,29.533060,0.067969
328.125000,74.722866,0.171971
331.054688,13.099594,0.030148
333.984375,7.567676,0.017417
336.914062,4.809099,0.011068
339.843750,4.187736,0.009638
342.773438,3.948299,0.009087
345.703125,3.714796,0.008549
348.632812,3.614821,0.008319
351.562500,3.730571,0.008586
354.492188,3.469710,0.007985
357.421875,2.863517,0.006590
360.351562,14.204174,0.032690
363.281250,4.213283,0.009697
366.210938,4.456176,0.010256
369.140625,4.109190,0.009457
372.070312,2.358387,0.005428
375.000000,5.236661,0.012052
377.929688,3.122778,0.007187
380.859375,4.116377,0.009474
383.789062,3.441391,0.007920
386.718750,3.245770,0.007470
389.648438,3.294627,0.007582
392.578125,3.731557,0.008588
395.507812,4.978064,0.011457
398.437500,3.695730,0.008506
401.367188,2.961094,0.006815
404.296875,3.568030,0.008212
407.226562,3.905233,0.008988
410.156250,3.226793,0.007426
413.085938,2.959999,0.006812
416.015625,2.727631,0.006278
418.945312,2.729564,0.006282
421.875000,1.715161,0.003947
424.804688,1.392975,0.003206
427.734375,12.146821,0.027955
430.664062,4.911251,0.011303
433.593750,4.265968,0.009818
436.523438,3.929007,0.009042
439.453125,3.733751,0.008593
442.382812,3.723341,0.008569
445.312500,4.007122,0.009222
448.242188,2.776003,0.006389
451.171875,2.945584,0.006779
454.101562,3.216741,0.007403
457.031250,3.325696,0.007654
459.960938,7.032260,0.016184
462.890625,2.922128,0.006725
465.820312,3.041826,0.007001
468.750000,2.840598,0.006538
471.679688,2.720125,0.006260
474.609375,4.091363,0.009416
477.539062,3.812114,0.008773
480.468750,3.924044,0.009031
483.398438,3.119101,0.007178
486.328125,3.963045,0.009121
489.257812,4.899932,0.011277
492.187500,7.436342,0.017114
495.117188,6.332780,0.014575
498.046875,1.283302,0.002953
500.976562,1.212234,0.002790
503.906250,1.807727,0.004160
506.835938,1.626524,0.003743
509.765625,2.112945,0.004863
512.695312,1.898653,0.004370
515.625000,1.707726,0.003930
518.554688,1.914139,0.004405
521.484375,2.048865,0.004715
524.414062,2.367351,0.005448
527.343750,5.176761,0.011914
530.273438,1.795657,0.004133
533.203125,1.866570,0.004296
536.132812,1.948323,0.004484
539.062500,1.792558,0.004125
541.992188,2.300129,0.005294
544.921875,1.935989,0.004456
547.851562,2.324609,0.005350
550.781250,2.349200,0.005407
553.710938,2.637356,0.006070
556.640625,2.983339,0.006866
559.570312,4.745430,0.010921
562.500000,4.347071,0.010005
565.429688,0.854473,0.001967
568.359375,0.877845,0.002020
571.289062,1.089971,0.002509
574.218750,0.966696,0.002225
577.148438,1.435430,0.003304
580.078125,1.127401,0.002595
583.007812,1.133187,0.002608
585.937500,1.451976,0.003342
588.867188,1.656945,0.003813
591.796875,2.810450,0.006468
594.726562,19.545949,0.044984
597.656250,5.865322,0.013499
600.585938,3.396367,0.007817
603.515625,2.562530,0.005898
606.445312,2.266464,0.005216
609.375000,2.006020,0.004617
612.304688,2.028363,0.004668
615.234375,1.994528,0.004590
618.164062,1.757737,0.004045
621.093750,1.884333,0.004337
624.023438,2.671760,0.006149
626.953125,4.528979,0.010423
629.882812,22.841635,0.052569
632.812500,2.931316,0.006746
635.742188,1.586570,0.003651
638.671875,1.268446,0.002919
641.601562,0.850627,0.001958
644.531250,0.636683,0.001465
647.460938,0.765339,0.001761
650.390625,0.914041,0.002104
653.320312,0.990295,0.002279
656.250000,2.387722,0.005495
659.179688,4.473322,0.010295
662.109375,15.020680,0.034569
665.039062,22.570887,0.051946
667.968750,8.159808,0.018779
670.898438,5.484750,0.012623
673.828125,4.548135,0.010467
676.757812,3.863528,0.008892
679.687500,3.195800,0.007355
682.617188,2.616541,0.006022
685.546875,2.554567,0.005879
688.476562,2.872611,0.006611
691.406250,3.145859,0.007240
694.335938,4.156136,0.009565
697.265625,16.891125,0.038874
700.195312,7.874875,0.018124
703.125000,3.933995,0.009054
706.054688,3.143425,0.007234
708.984375,2.747071,0.006322
711.914062,2.821068,0.006493
714.843750,2.302564,0.005299
717.773438,2.137509,0.004919
720.703125,0.828682,0.001907
723.632812,1.613064,0.003712
726.562500,0.529566,0.001219
729.492188,1.625650,0.003741
732.421875,53.265471,0.122588
735.351562,7.491914,0.017242
738.281250,4.470958,0.010290
741.210938,3.146957,0.007243
744.140625,2.197835,0.005058
747.070312,3.071278,0.007068
750.000000,2.692081,0.006196
752.929688,4.417583,0.010167
755.859375,1.814987,0.004177
758.789062,2.223489,0.005117
761.718750,1.453202,0.003344
764.648438,1.600065,0.003682
767.578125,6.927736,0.015944
770.507812,2.656359,0.006113
773.437500,2.453487,0.005647
776.367188,2.338367,0.005382
779.296875,2.877441,0.006622
782.226562,1.752016,0.004032
785.156250,2.024967,0.004660
788.085938,1.525977,0.003512
791.015625,1.921099,0.004421
793.945312,2.239102,0.005153
796.875000,1.998677,0.004600
799.804688,1.876314,0.004318
802.734375,3.108613,0.007154
805.664062,1.500031,0.003452
808.593750,1.800593,0.004144
811.523438,1.841324,0.004238
814.453125,1.615815,0.003719
817.382812,1.666832,0.003836
820.312500,1.988828,0.004577
823.242188,1.507846,0.003470
826.171875,1.491724,0.003433
829.101562,1.650309,0.003798
832.031250,1.619716,0.003728
834.960938,1.605533,0.003695
837.890625,4.292960,0.009880
840.820312,1.905502,0.004385
843.750000,1.824170,0.004198
846.679688,1.753283,0.004035
849.609375,1.691811,0.003894
852.539062,1.995791,0.004593
855.468750,1.719704,0.003958
858.398438,1.506003,0.003466
861.328125,1.572069,0.003618
864.257812,1.424971,0.003280
867.187500,1.665175,0.003832
870.117188,1.609613,0.003704
873.046875,2.141056,0.004928
875.976562,1.316315,0.003029
