frequency_hz,magnitude,magnitude_normalized
0.000000,0.240601,0.013474
2.929688,0.247859,0.013880
5.859375,0.264514,0.014813
8.789062,0.300917,0.016852
11.718750,0.350768,0.019643
14.648438,0.423817,0.023734
17.578125,0.496357,0.027797
20.507812,0.626797,0.035101
23.437500,0.765667,0.042878
26.367188,1.037499,0.058101
29.296875,1.771824,0.099224
32.226562,4.888866,0.273783
35.156250,5.966104,0.334110
38.085938,14.606424,0.817979
41.015625,2.572356,0.144055
43.945312,17.856729,1.000000
46.875000,8.830453,0.494517
49.804688,6.075107,0.340214
52.734375,3.097782,0.173480
55.664062,2.356964,0.131993
58.593750,0.912042,0.051076
61.523438,1.403129,0.078577
64.453125,2.801454,0.156885
67.382812,4.155337,0.232704
70.312500,2.465015,0.138044
73.242188,1.364865,0.076434
76.171875,1.720063,0.096326
79.101562,5.303745,0.297017
82.031250,8.450114,0.473217
84.960938,2.719067,0.152271
87.890625,2.277399,0.127537
90.820312,2.364972,0.132442
93.750000,1.011561,0.056649
96.679688,0.686802,0.038462
99.609375,0.450170,0.025210
102.539062,0.487261,0.027287
105.468750,0.201878,0.011305
108.398438,0.608282,0.034065
111.328125,0.621605,0.034811
114.257812,0.774046,0.043348
117.187500,0.377358,0.021133
120.117188,1.129840,0.063273
123.046875,0.190071,0.010644
125.976562,0.368375,0.020629
128.906250,0.603289,0.033785
131.835938,0.259033,0.014506
134.765625,0.590944,0.033094
137.695312,0.500075,0.028005
140.625000,0.417339,0.023372
143.554688,0.401243,0.022470
146.484375,0.434151,0.024313
149.414062,0.293622,0.016443
152.343750,0.424478,0.023771
155.273438,0.228191,0.012779
158.203125,0.070591,0.003953
161.132812,0.158497,0.008876
164.062500,0.300421,0.016824
166.992188,0.315859,0.017689
169.921875,0.334278,0.018720
172.851562,0.382360,0.021413
175.781250,0.212617,0.011907
178.710938,0.309343,0.017324
181.640625,0.155196,0.008691
184.570312,0.173945,0.009741
187.500000,0.323657,0.018125
190.429688,0.093181,0.005218
193.359375,0.195296,0.010937
196.289062,0.201439,0.011281
199.218750,0.234851,0.013152
202.148438,0.264960,0.014838
205.078125,0.145046,0.008123
208.007812,0.183470,0.010275
210.937500,0.061866,0.003465
213.867188,0.213531,0.011958
216.796875,0.162003,0.009072
219.726562,0.201050,0.011259
222.656250,0.308357,0.017268
225.585938,0.191984,0.010751
228.515625,0.207175,0.011602
231.445312,0.139923,0.007836
234.375000,0.168574,0.009440
237.304688,0.207141,0.011600
240.234375,0.308438,0.017273
243.164062,0.289156,0.016193
246.093750,0.197855,0.011080
249.023438,0.243015,0.013609
251.953125,0.199548,0.011175
254.882812,0.318269,0.017823
257.812500,0.221176,0.012386
260.742188,0.350025,0.019602
263.671875,0.134771,0.007547
266.601562,0.105011,0.005881
269.531250,0.147407,0.008255
272.460938,0.192356,0.010772
275.390625,0.162052,0.009075
278.320312,0.103322,0.005786
281.250000,0.189817,0.010630
284.179688,0.146980,0.008231
287.109375,0.139430,0.007808
290.039062,0.194698,0.010903
292.968750,0.174990,0.009800
295.898438,0.145890,0.008170
298.828125,0.191595,0.010730
301.757812,0.186679,0.010454
304.687500,0.202826,0.011359
307.617188,0.307553,0.017223
310.546875,0.202635,0.011348
313.476562,0.188673,0.010566
316.406250,0.144350,0.008084
319.335938,0.134970,0.007558
322.265625,0.167121,0.009359
325.195312,0.141005,0.007896
328.125000,0.062042,0.003474
331.054688,0.234432,0.013128
333.984375,0.169932,0.009516
336.914062,0.131377,0.007357
339.843750,0.131648,0.007372
342.773438,0.221878,0.012425
345.703125,0.105513,0.005909
348.632812,0.316479,0.017723
351.562500,0.194233,0.010877
354.492188,0.026101,0.001462
357.421875,0.297032,0.016634
360.351562,0.176889,0.009906
363.281250,0.364771,0.020428
366.210938,0.205769,0.011523
369.140625,0.266096,0.014902
372.070312,0.163874,0.009177
375.000000,0.223299,0.012505
377.929688,0.144888,0.008114
380.859375,0.231397,0.012959
383.789062,0.457499,0.025621
386.718750,0.218562,0.012240
389.648438,0.405263,0.022695
392.578125,0.186076,0.010420
395.507812,0.218461,0.012234
398.437500,0.224585,0.012577
401.367188,0.258580,0.014481
404.296875,0.343514,0.019237
407.226562,0.372839,0.020879
410.156250,0.324808,0.018190
413.085938,0.269423,0.015088
416.015625,0.374892,0.020994
418.945312,0.305549,0.017111
421.875000,0.428647,0.024005
424.804688,0.613556,0.034360
427.734375,0.462268,0.025888
430.664062,0.391728,0.021937
433.593750,0.372081,0.020837
436.523438,0.325299,0.018217
439.453125,0.357632,0.020028
442.382812,0.504233,0.028238
445.312500,0.487039,0.027275
448.242188,0.657725,0.036833
451.171875,0.559121,0.031312
454.101562,0.484270,0.027120
457.031250,0.721075,0.040381
459.960938,0.629921,0.035276
462.890625,0.661633,0.037052
465.820312,0.558821,0.031295
468.750000,0.889684,0.049823
471.679688,1.004092,0.056230
474.609375,0.934151,0.052314
477.539062,1.196721,0.067018
480.468750,1.780212,0.099694
483.398438,1.915612,0.107277
486.328125,2.422529,0.135665
489.257812,4.288852,0.240181
492.187500,8.916103,0.499313
495.117188,16.703164,0.935399
498.046875,4.811989,0.269478
500.976562,2.706499,0.151567
503.906250,1.650556,0.092433
506.835938,1.664434,0.093210
509.765625,1.123463,0.062915
512.695312,1.023042,0.057292
515.625000,0.860878,0.048210
518.554688,0.727421,0.040737
521.484375,0.644750,0.036107
524.414062,0.664000,0.037185
527.343750,0.431684,0.024175
530.273438,0.530976,0.029735
533.203125,0.383917,0.021500
536.132812,0.445556,0.024952
539.062500,0.517369,0.028973
541.992188,0.414056,0.023188
544.921875,0.384368,0.021525
547.851562,0.212550,0.011903
550.781250,0.325839,0.018247
553.710938,0.307023,0.017194
556.640625,0.287875,0.016121
559.570312,0.219360,0.012284
562.500000,0.289453,0.016210
565.429688,0.146021,0.008177
568.359375,0.168634,0.009444
571.289062,0.239840,0.013431
574.218750,0.235823,0.013206
577.148438,0.226303,0.012673
580.078125,0.186135,0.010424
583.007812,0.150981,0.008455
585.937500,0.187520,0.010501
588.867188,0.204624,0.011459
591.796875,0.137238,0.007686
594.726562,0.186826,0.010463
597.656250,0.168736,0.009449
600.585938,0.169633,0.009500
603.515625,0.135786,0.007604
606.445312,0.163839,0.009175
609.375000,0.166633,0.009332
612.304688,0.140525,0.007870
615.234375,0.149570,0.008376
618.164062,0.135371,0.007581
621.093750,0.152030,0.008514
