frequency_hz,magnitude,magnitude_normalized
0.000000,0.948868,0.003018
2.929688,0.946745,0.003011
5.859375,0.937233,0.002981
8.789062,0.919410,0.002925
11.718750,0.903844,0.002875
14.648438,0.899822,0.002862
17.578125,0.868871,0.002764
20.507812,0.869487,0.002766
23.437500,0.932375,0.002966
26.367188,0.736712,0.002343
29.296875,0.710753,0.002261
32.226562,0.395230,0.001257
35.156250,1.210124,0.003849
38.085938,4.206009,0.013379
41.015625,6.246261,0.019868
43.945312,5.220881,0.016607
46.875000,4.651246,0.014795
49.804688,3.424793,0.010894
52.734375,3.859356,0.012276
55.664062,5.238254,0.016662
58.593750,3.974220,0.012641
61.523438,0.211273,0.000672
64.453125,0.527788,0.001679
67.382812,1.769715,0.005629
70.312500,2.003537,0.006373
73.242188,1.502325,0.004779
76.171875,1.787702,0.005686
79.101562,2.591366,0.008243
82.031250,5.921713,0.018836
84.960938,3.221913,0.010248
87.890625,3.643332,0.011589
90.820312,2.724923,0.008668
93.750000,2.508788,0.007980
96.679688,1.171392,0.003726
99.609375,2.568758,0.008171
102.539062,1.103328,0.003510
105.468750,3.288050,0.010459
108.398438,2.357738,0.007500
111.328125,1.277576,0.004064
114.257812,2.246316,0.007145
117.187500,1.244086,0.003957
120.117188,3.074776,0.009780
123.046875,2.902539,0.009233
125.976562,1.927492,0.006131
128.906250,1.912067,0.006082
131.835938,1.644851,0.005232
134.765625,1.973878,0.006279
137.695312,1.959231,0.006232
140.625000,2.232345,0.007101
143.554688,2.377346,0.007562
146.484375,2.487332,0.007912
149.414062,3.088117,0.009823
152.343750,1.725440,0.005488
155.273438,2.203652,0.007010
158.203125,2.762590,0.008787
161.132812,2.080504,0.006618
164.062500,2.364133,0.007520
166.992188,2.783583,0.008854
169.921875,2.696994,0.008579
172.851562,2.365165,0.007523
175.781250,2.796923,0.008897
178.710938,2.592754,0.008247
181.640625,2.726214,0.008672
184.570312,2.926173,0.009308
187.500000,3.032650,0.009646
190.429688,3.691240,0.011741
193.359375,3.600838,0.011454
196.289062,3.080562,0.009799
199.218750,3.913037,0.012447
202.148438,3.139624,0.009987
205.078125,4.005759,0.012742
208.007812,3.505448,0.011150
210.937500,3.785499,0.012041
213.867188,2.123785,0.006755
216.796875,5.203563,0.016552
219.726562,5.201208,0.016544
222.656250,5.676297,0.018056
225.585938,5.379362,0.017111
228.515625,6.184187,0.019671
231.445312,6.597382,0.020985
234.375000,7.674289,0.024411
237.304688,8.269816,0.026305
240.234375,8.855905,0.028169
243.164062,11.318607,0.036003
246.093750,12.907781,0.041058
249.023438,15.800189,0.050258
251.953125,20.651785,0.065690
254.882812,29.969442,0.095329
257.812500,53.471209,0.170084
260.742188,314.380366,1.000000
263.671875,81.783977,0.260143
266.601562,35.334330,0.112394
269.531250,22.736222,0.072321
272.460938,16.257090,0.051712
275.390625,13.049906,0.041510
278.320312,10.668101,0.033934
281.250000,9.135600,0.029059
284.179688,7.974538,0.025366
287.109375,7.205044,0.022918
