frequency_hz,magnitude,magnitude_normalized
0.000000,1.592529,0.057553
2.929688,1.601638,0.057883
5.859375,1.622199,0.058626
8.789062,1.659859,0.059987
11.718750,1.705450,0.061634
14.648438,1.834941,0.066314
17.578125,1.863806,0.067357
20.507812,2.040632,0.073748
23.437500,2.530527,0.091452
26.367188,2.760150,0.099751
29.296875,0.874431,0.031602
32.226562,4.541646,0.164133
35.156250,8.452026,0.305453
38.085938,3.956531,0.142988
41.015625,2.158070,0.077992
43.945312,27.670460,1.000000
46.875000,2.500511,0.090368
49.804688,5.948913,0.214991
52.734375,3.704868,0.133893
55.664062,5.455820,0.197171
58.593750,2.501781,0.090413
61.523438,4.573599,0.165288
64.453125,1.805405,0.065247
67.382812,2.581648,0.093300
70.312500,3.814986,0.137872
73.242188,3.204091,0.115795
76.171875,2.444048,0.088327
79.101562,5.919161,0.213916
82.031250,8.325988,0.300898
84.960938,3.479938,0.125764
87.890625,3.086360,0.111540
90.820312,0.256999,0.009288
93.750000,1.448752,0.052357
96.679688,1.601703,0.057885
99.609375,2.445549,0.088381
102.539062,1.607924,0.058110
105.468750,1.773357,0.064088
108.398438,1.684662,0.060883
111.328125,0.892344,0.032249
114.257812,0.096464,0.003486
117.187500,0.639234,0.023102
120.117188,1.537073,0.055549
123.046875,0.994189,0.035930
125.976562,0.620000,0.022407
128.906250,0.404340,0.014613
131.835938,0.436390,0.015771
134.765625,0.400874,0.014487
137.695312,0.933280,0.033728
140.625000,0.940721,0.033997
143.554688,1.694157,0.061226
146.484375,0.939955,0.033970
149.414062,0.249241,0.009007
152.343750,0.599953,0.021682
155.273438,0.486446,0.017580
158.203125,0.170904,0.006176
161.132812,0.217985,0.007878
164.062500,0.176460,0.006377
166.992188,0.322433,0.011653
169.921875,0.304225,0.010995
172.851562,0.146545,0.005296
175.781250,0.401048,0.014494
178.710938,0.120212,0.004344
181.640625,0.098574,0.003562
184.570312,0.151879,0.005489
187.500000,0.217978,0.007878
190.429688,0.285085,0.010303
193.359375,0.189391,0.006845
196.289062,0.352368,0.012734
199.218750,0.264861,0.009572
202.148438,0.169895,0.006140
205.078125,0.071488,0.002584
208.007812,0.105268,0.003804
210.937500,0.116785,0.004221
213.867188,0.258306,0.009335
216.796875,0.199863,0.007223
219.726562,0.287745,0.010399
222.656250,0.156488,0.005655
225.585938,0.079363,0.002868
228.515625,0.059396,0.002147
231.445312,0.194310,0.007022
234.375000,0.269303,0.009733
237.304688,0.178485,0.006450
240.234375,0.278285,0.010057
243.164062,0.285594,0.010321
246.093750,0.285114,0.010304
249.023438,0.169746,0.006135
251.953125,0.172060,0.006218
254.882812,0.063760,0.002304
257.812500,0.177739,0.006423
260.742188,0.325579,0.011766
263.671875,0.095663,0.003457
266.601562,0.103387,0.003736
269.531250,0.219887,0.007947
272.460938,0.077347,0.002795
275.390625,0.193325,0.006987
278.320312,0.032453,0.001173
281.250000,0.098635,0.003565
284.179688,0.067655,0.002445
287.109375,0.174333,0.006300
290.039062,0.148543,0.005368
292.968750,0.060271,0.002178
295.898438,0.134398,0.004857
298.828125,0.300542,0.010861
301.757812,0.276242,0.009983
304.687500,0.087486,0.003162
