frequency_hz,magnitude,magnitude_normalized
0.000000,0.751007,0.008883
2.929688,0.754326,0.008922
5.859375,0.751592,0.008890
8.789062,0.745997,0.008823
11.718750,0.759606,0.008984
14.648438,0.758268,0.008968
17.578125,0.789921,0.009343
20.507812,0.723801,0.008561
23.437500,0.849424,0.010047
26.367188,1.018699,0.012049
29.296875,0.610293,0.007218
32.226562,1.534922,0.018154
35.156250,4.249114,0.050257
38.085938,6.866452,0.081214
41.015625,8.021987,0.094881
43.945312,14.841293,0.175537
46.875000,3.558339,0.042087
49.804688,2.314941,0.027380
52.734375,0.503377,0.005954
55.664062,7.490488,0.088595
58.593750,5.159108,0.061020
61.523438,1.281082,0.015152
64.453125,0.974623,0.011527
67.382812,1.043900,0.012347
70.312500,0.754921,0.008929
73.242188,2.156610,0.025508
76.171875,2.184452,0.025837
79.101562,4.416562,0.052237
82.031250,3.970719,0.046964
84.960938,2.314886,0.027380
87.890625,1.726875,0.020425
90.820312,1.024268,0.012115
93.750000,0.818329,0.009679
96.679688,0.487276,0.005763
99.609375,1.763884,0.020863
102.539062,1.387106,0.016406
105.468750,1.326630,0.015691
108.398438,0.815011,0.009640
111.328125,0.798770,0.009448
114.257812,2.525223,0.029867
117.187500,1.372023,0.016228
120.117188,1.638083,0.019375
123.046875,0.411780,0.004870
125.976562,1.331611,0.015750
128.906250,1.985044,0.023478
131.835938,1.855923,0.021951
134.765625,1.610263,0.019046
137.695312,1.481851,0.017527
140.625000,0.988566,0.011692
143.554688,1.408498,0.016659
146.484375,1.390303,0.016444
149.414062,1.767751,0.020908
152.343750,0.998061,0.011805
155.273438,0.914005,0.010810
158.203125,0.959130,0.011344
161.132812,0.866369,0.010247
164.062500,0.742088,0.008777
166.992188,1.012055,0.011970
169.921875,1.679197,0.019861
172.851562,1.346921,0.015931
175.781250,1.545612,0.018281
178.710938,1.645578,0.019463
181.640625,1.159022,0.013708
184.570312,1.189050,0.014064
187.500000,1.551943,0.018356
190.429688,1.274262,0.015071
193.359375,1.215478,0.014376
196.289062,1.356083,0.016039
199.218750,1.692801,0.020022
202.148438,1.372752,0.016236
205.078125,1.252436,0.014813
208.007812,1.114905,0.013187
210.937500,1.468158,0.017365
213.867188,1.491081,0.017636
216.796875,1.482548,0.017535
219.726562,1.523160,0.018015
222.656250,1.809752,0.021405
225.585938,1.391921,0.016463
228.515625,1.981658,0.023438
231.445312,1.742704,0.020612
234.375000,1.168324,0.013818
237.304688,1.668596,0.019735
240.234375,1.487789,0.017597
243.164062,1.802735,0.021322
246.093750,1.969575,0.023295
249.023438,2.001205,0.023669
251.953125,1.728753,0.020447
254.882812,1.734661,0.020517
257.812500,2.071699,0.024503
260.742188,2.294910,0.027143
263.671875,2.585038,0.030575
266.601562,2.366938,0.027995
269.531250,2.349146,0.027785
272.460938,2.381301,0.028165
275.390625,2.969198,0.035119
278.320312,2.287869,0.027060
281.250000,3.012212,0.035627
284.179688,3.155208,0.037319
287.109375,3.227264,0.038171
290.039062,3.970026,0.046956
292.968750,3.722156,0.044024
295.898438,4.172716,0.049353
298.828125,4.061011,0.048032
301.757812,4.935281,0.058373
304.687500,5.300236,0.062689
307.617188,5.870413,0.069433
310.546875,6.205025,0.073391
313.476562,7.776445,0.091977
316.406250,9.116362,0.107825
319.335938,12.636668,0.149462
322.265625,16.284461,0.192606
325.195312,27.531193,0.325628
328.125000,84.547969,1.000000
331.054688,73.657438,0.871191
333.984375,24.951810,0.295120
336.914062,14.368437,0.169944
339.843750,11.240183,0.132944
342.773438,8.407105,0.099436
345.703125,6.477074,0.076608
348.632812,5.300401,0.062691
351.562500,4.608106,0.054503
354.492188,4.041440,0.047801
357.421875,3.396827,0.040176
360.351562,2.675206,0.031641
363.281250,2.178045,0.025761
366.210938,2.145852,0.025380
369.140625,2.004366,0.023707
372.070312,1.801260,0.021305
375.000000,1.097395,0.012980
377.929688,0.789309,0.009336
380.859375,0.097496,0.001153
383.789062,0.580804,0.006870
386.718750,2.262602,0.026761
389.648438,7.943608,0.093954
392.578125,26.946289,0.318710
395.507812,7.479667,0.088467
398.437500,5.247635,0.062067
401.367188,3.397087,0.040179
404.296875,3.136712,0.037100
407.226562,2.388737,0.028253
410.156250,2.327111,0.027524
413.085938,2.129543,0.025187
416.015625,2.108590,0.024940
418.945312,1.797043,0.021255
421.875000,1.897700,0.022445
424.804688,1.844990,0.021822
427.734375,1.587451,0.018776
430.664062,1.740248,0.020583
433.593750,1.653436,0.019556
436.523438,1.509568,0.017855
439.453125,1.270825,0.015031
442.382812,1.595599,0.018872
445.312500,1.436347,0.016989
448.242188,1.380432,0.016327
451.171875,1.029897,0.012181
454.101562,1.045457,0.012365
457.031250,1.026971,0.012147
459.960938,1.063928,0.012584
462.890625,0.968153,0.011451
465.820312,0.799868,0.009461
468.750000,0.827849,0.009791
471.679688,0.747042,0.008836
474.609375,0.856518,0.010131
477.539062,0.875233,0.010352
480.468750,0.831748,0.009838
483.398438,0.906939,0.010727
486.328125,0.714705,0.008453
489.257812,0.840726,0.009944
492.187500,1.054847,0.012476
495.117188,0.739701,0.008749
498.046875,0.762067,0.009013
500.976562,0.483715,0.005721
503.906250,0.663015,0.007842
506.835938,0.729205,0.008625
509.765625,0.861526,0.010190
512.695312,0.534582,0.006323
515.625000,0.759064,0.008978
518.554688,0.658358,0.007787
521.484375,0.576318,0.006816
524.414062,0.613525,0.007257
527.343750,0.574465,0.006795
530.273438,0.480962,0.005689
533.203125,0.672995,0.007960
536.132812,0.595988,0.007049
539.062500,0.500000,0.005914
541.992188,0.525062,0.006210
544.921875,0.426777,0.005048
547.851562,0.443666,0.005248
550.781250,0.386230,0.004568
553.710938,0.600782,0.007106
556.640625,0.446853,0.005285
559.570312,0.496634,0.005874
562.500000,0.453003,0.005358
565.429688,0.479984,0.005677
568.359375,0.395332,0.004676
571.289062,0.349824,0.004138
574.218750,0.451373,0.005339
577.148438,0.409956,0.004849
580.078125,0.466962,0.005523
583.007812,0.333603,0.003946
585.937500,0.468914,0.005546
588.867188,0.355743,0.004208
591.796875,0.433052,0.005122
594.726562,0.381017,0.004507
597.656250,0.279513,0.003306
600.585938,0.306968,0.003631
603.515625,0.290226,0.003433
606.445312,0.241064,0.002851
609.375000,0.347591,0.004111
612.304688,0.401487,0.004749
615.234375,0.105856,0.001252
618.164062,0.267902,0.003169
621.093750,0.321148,0.003798
624.023438,0.225061,0.002662
626.953125,0.237202,0.002806
629.882812,0.184833,0.002186
632.812500,0.475794,0.005628
635.742188,0.178715,0.002114
638.671875,0.149418,0.001767
641.601562,0.121122,0.001433
644.531250,0.168100,0.001988
647.460938,0.221103,0.002615
650.390625,0.387214,0.004580
653.320312,0.513253,0.006071
656.250000,1.325044,0.015672
659.179688,11.290563,0.133540
662.109375,2.477254,0.029300
665.039062,1.231255,0.014563
667.968750,0.983756,0.011635
670.898438,0.720711,0.008524
673.828125,0.613443,0.007256
676.757812,0.498715,0.005899
679.687500,0.529860,0.006267
682.617188,0.463062,0.005477
685.546875,0.192048,0.002271
688.476562,0.461757,0.005461
691.406250,0.466493,0.005517
694.335938,0.285373,0.003375
697.265625,0.289069,0.003419
700.195312,0.435609,0.005152
703.125000,0.354948,0.004198
706.054688,0.153052,0.001810
708.984375,0.354395,0.004192
711.914062,0.381203,0.004509
714.843750,0.381103,0.004508
717.773438,0.328055,0.003880
720.703125,0.478172,0.005656
723.632812,0.296992,0.003513
726.562500,0.234626,0.002775
729.492188,0.236890,0.002802
732.421875,0.228443,0.002702
735.351562,0.390498,0.004619
738.281250,0.181872,0.002151
741.210938,0.270440,0.003199
744.140625,0.399167,0.004721
747.070312,0.306300,0.003623
750.000000,0.178941,0.002116
752.929688,0.435967,0.005156
755.859375,0.412099,0.004874
758.789062,0.508560,0.006015
761.718750,0.677365,0.008012
764.648438,0.763802,0.009034
767.578125,0.851836,0.010075
770.507812,1.019628,0.012060
773.437500,1.312238,0.015521
776.367188,1.619587,0.019156
779.296875,2.892647,0.034213
782.226562,7.540182,0.089182
785.156250,14.625682,0.172987
788.085938,4.243655,0.050192
791.015625,2.422702,0.028655
793.945312,1.647383,0.019485
796.875000,1.267420,0.014991
799.804688,1.150790,0.013611
802.734375,0.974006,0.011520
805.664062,1.004106,0.011876
808.593750,0.718031,0.008493
811.523438,0.632746,0.007484
814.453125,0.637706,0.007543
817.382812,0.734899,0.008692
820.312500,0.556975,0.006588
823.242188,0.592551,0.007008
826.171875,0.491677,0.005815
829.101562,0.555733,0.006573
832.031250,0.461355,0.005457
834.960938,0.592373,0.007006
837.890625,0.590838,0.006988
840.820312,0.355589,0.004206
843.750000,0.383261,0.004533
846.679688,0.455796,0.005391
849.609375,0.368677,0.004361
852.539062,0.342950,0.004056
855.468750,0.377177,0.004461
858.398438,0.351157,0.004153
861.328125,0.316092,0.003739
864.257812,0.314365,0.003718
867.187500,0.340752,0.004030
870.117188,0.321361,0.003801
873.046875,0.342663,0.004053
875.976562,0.352751,0.004172
878.906250,0.267868,0.003168
881.835938,0.339862,0.004020
884.765625,0.299847,0.003546
887.695312,0.402847,0.004765
890.625000,0.350790,0.004149
893.554688,0.305482,0.003613
896.484375,0.344893,0.004079
899.414062,0.342921,0.004056
902.343750,0.316177,0.003740
905.273438,0.315051,0.003726
908.203125,0.353266,0.004178
911.132812,0.429216,0.005077
914.062500,0.305788,0.003617
916.992188,0.519101,0.006140
919.921875,0.357166,0.004224
922.851562,0.196291,0.002322
925.781250,0.275670,0.003261
928.710938,0.375674,0.004443
931.640625,0.355698,0.004207
934.570312,0.291305,0.003445
937.500000,0.370873,0.004387
940.429688,0.288227,0.003409
943.359375,0.341164,0.004035
946.289062,0.369670,0.004372
949.218750,0.380021,0.004495
952.148438,0.295290,0.003493
955.078125,0.277313,0.003280
958.007812,0.304155,0.003597
960.937500,0.624142,0.007382
963.867188,0.476001,0.005630
966.796875,0.214978,0.002543
969.726562,0.389653,0.004609
972.656250,0.348502,0.004122
975.585938,0.312071,0.003691
978.515625,0.402885,0.004765
981.445312,0.378820,0.004481
984.375000,0.530731,0.006277
987.304688,1.013066,0.011982
990.234375,5.015128,0.059317
993.164062,0.646260,0.007644
996.093750,0.246187,0.002912
999.023438,0.024627,0.000291
1001.953125,0.215183,0.002545
1004.882812,0.198243,0.002345
1007.812500,0.144099,0.001704
1010.742188,0.181550,0.002147
1013.671875,0.130325,0.001541
1016.601562,0.129972,0.001537
1019.531250,0.152151,0.001800
1022.460938,0.185298,0.002192
1025.390625,0.187609,0.002219
1028.320312,0.088280,0.001044
1031.250000,0.092625,0.001096
1034.179688,0.191183,0.002261
1037.109375,0.121818,0.001441
1040.039062,0.097137,0.001149
1042.968750,0.206091,0.002438
1045.898438,0.178884,0.002116
1048.828125,0.332062,0.003928
1051.757812,0.204736,0.002422
1054.687500,0.204494,0.002419
1057.617188,0.250917,0.002968
1060.546875,0.215675,0.002551
1063.476562,0.148698,0.001759
1066.406250,0.261957,0.003098
1069.335938,0.224032,0.002650
1072.265625,0.193423,0.002288
1075.195312,0.230892,0.002731
1078.125000,0.230875,0.002731
1081.054688,0.145520,0.001721
1083.984375,0.143487,0.001697
1086.914062,0.197720,0.002339
1089.843750,0.098312,0.001163
1092.773438,0.166221,0.001966
1095.703125,0.134006,0.001585
1098.632812,0.140286,0.001659
1101.562500,0.220904,0.002613
1104.492188,0.177856,0.002104
1107.421875,0.186143,0.002202
1110.351562,0.136114,0.001610
1113.281250,0.170074,0.002012
1116.210938,0.160120,0.001894
1119.140625,0.181105,0.002142
1122.070312,0.163331,0.001932
1125.000000,0.183467,0.002170
1127.929688,0.209826,0.002482
1130.859375,0.179464,0.002123
1133.789062,0.194285,0.002298
1136.718750,0.196944,0.002329
1139.648438,0.170225,0.002013
1142.578125,0.236363,0.002796
1145.507812,0.139524,0.001650
1148.437500,0.243455,0.002879
1151.367188,0.201950,0.002389
1154.296875,0.214958,0.002542
1157.226562,0.178848,0.002115
1160.156250,0.220701,0.002610
1163.085938,0.226023,0.002673
1166.015625,0.311705,0.003687
1168.945312,0.346661,0.004100
1171.875000,0.357521,0.004229
1174.804688,0.798812,0.009448
1177.734375,3.723223,0.044037
1180.664062,0.691611,0.008180
1183.593750,0.299562,0.003543
1186.523438,0.263382,0.003115
1189.453125,0.170187,0.002013
1192.382812,0.117840,0.001394
1195.312500,0.045576,0.000539
