frequency_hz,magnitude,magnitude_normalized
0.000000,0.358734,0.017273
2.929688,0.362455,0.017452
5.859375,0.368670,0.017752
8.789062,0.397600,0.019144
11.718750,0.391338,0.018843
14.648438,0.403648,0.019436
17.578125,0.423329,0.020383
20.507812,0.441699,0.021268
23.437500,0.692190,0.033329
26.367188,0.818757,0.039423
29.296875,1.254417,0.060400
32.226562,1.911932,0.092060
35.156250,1.131483,0.054481
38.085938,6.528591,0.314353
41.015625,9.153288,0.440732
43.945312,11.244509,0.541425
46.875000,8.111698,0.390579
49.804688,2.857233,0.137576
52.734375,2.464485,0.118665
55.664062,3.055639,0.147129
58.593750,3.114165,0.149948
61.523438,1.999725,0.096287
64.453125,1.199186,0.057741
67.382812,0.811890,0.039093
70.312500,1.511054,0.072757
73.242188,1.819386,0.087604
76.171875,1.521869,0.073278
79.101562,4.492187,0.216300
82.031250,4.054404,0.195220
84.960938,2.592469,0.124828
87.890625,3.532844,0.170107
90.820312,3.313741,0.159557
93.750000,1.831525,0.088188
96.679688,0.576262,0.027747
99.609375,1.990989,0.095866
102.539062,1.066711,0.051362
105.468750,1.022941,0.049255
108.398438,1.414946,0.068130
111.328125,1.057407,0.050914
114.257812,1.048025,0.050463
117.187500,1.282216,0.061739
120.117188,0.421277,0.020285
123.046875,0.313906,0.015115
125.976562,0.593412,0.028573
128.906250,1.298428,0.062519
131.835938,0.625982,0.030141
134.765625,0.426381,0.020530
137.695312,0.709547,0.034165
140.625000,1.160976,0.055901
143.554688,0.306321,0.014749
146.484375,0.630558,0.030361
149.414062,0.752810,0.036248
152.343750,0.337153,0.016234
155.273438,0.507465,0.024435
158.203125,0.505688,0.024349
161.132812,0.537106,0.025862
164.062500,0.515227,0.024808
166.992188,0.501595,0.024152
169.921875,0.563083,0.027113
172.851562,0.332608,0.016015
175.781250,0.384241,0.018501
178.710938,0.118581,0.005710
181.640625,0.361905,0.017426
184.570312,0.106320,0.005119
187.500000,0.170064,0.008189
190.429688,0.281770,0.013567
193.359375,0.087763,0.004226
196.289062,0.314520,0.015144
199.218750,0.246308,0.011860
202.148438,0.342500,0.016491
205.078125,0.053154,0.002559
208.007812,0.126256,0.006079
210.937500,0.104940,0.005053
213.867188,0.158136,0.007614
216.796875,0.439480,0.021161
219.726562,0.328308,0.015808
222.656250,0.273223,0.013156
225.585938,0.387787,0.018672
228.515625,0.355331,0.017109
231.445312,0.250844,0.012078
234.375000,0.149453,0.007196
237.304688,0.167441,0.008062
240.234375,0.263822,0.012703
243.164062,0.238259,0.011472
246.093750,0.517156,0.024901
249.023438,0.322696,0.015538
251.953125,0.172881,0.008324
254.882812,0.239328,0.011524
257.812500,0.063743,0.003069
260.742188,0.015421,0.000743
263.671875,0.283161,0.013634
266.601562,0.319783,0.015398
269.531250,0.210242,0.010123
272.460938,0.225581,0.010862
275.390625,0.054924,0.002645
278.320312,0.255157,0.012286
281.250000,0.369288,0.017781
284.179688,0.364338,0.017543
287.109375,0.207855,0.010008
290.039062,0.363464,0.017501
292.968750,0.254109,0.012235
295.898438,0.433438,0.020870
298.828125,0.465079,0.022394
301.757812,0.427006,0.020560
304.687500,0.349601,0.016833
307.617188,0.243166,0.011708
310.546875,0.436365,0.021011
313.476562,0.127741,0.006151
316.406250,0.562209,0.027070
319.335938,0.354789,0.017083
322.265625,0.451862,0.021757
325.195312,0.453941,0.021857
328.125000,0.202280,0.009740
331.054688,0.186204,0.008966
333.984375,0.262489,0.012639
336.914062,0.360734,0.017369
339.843750,0.454853,0.021901
342.773438,0.362456,0.017452
345.703125,0.487241,0.023461
348.632812,0.343105,0.016521
351.562500,0.540158,0.026009
354.492188,0.620654,0.029885
357.421875,0.600668,0.028922
360.351562,0.808354,0.038922
363.281250,0.603674,0.029067
366.210938,0.841396,0.040513
369.140625,0.818156,0.039394
372.070312,0.987574,0.047552
375.000000,1.600395,0.077059
377.929688,1.376929,0.066299
380.859375,1.537737,0.074042
383.789062,3.299256,0.158860
386.718750,3.799154,0.182930
389.648438,8.419031,0.405378
392.578125,20.768367,1.000000
395.507812,4.768631,0.229610
398.437500,2.275486,0.109565
401.367188,2.123152,0.102230
404.296875,1.330329,0.064056
407.226562,1.128889,0.054356
410.156250,0.992079,0.047769
413.085938,0.917950,0.044199
416.015625,0.739314,0.035598
418.945312,0.655191,0.031548
421.875000,0.896303,0.043157
424.804688,0.498501,0.024003
427.734375,0.616022,0.029662
430.664062,0.606649,0.029210
433.593750,0.462237,0.022257
436.523438,0.246890,0.011888
439.453125,0.549514,0.026459
442.382812,0.438193,0.021099
445.312500,0.197017,0.009486
448.242188,0.313700,0.015105
451.171875,0.306929,0.014779
454.101562,0.136393,0.006567
457.031250,0.138607,0.006674
459.960938,0.277236,0.013349
462.890625,0.249357,0.012007
465.820312,0.214785,0.010342
468.750000,0.241226,0.011615
471.679688,0.128412,0.006183
474.609375,0.184295,0.008874
477.539062,0.145986,0.007029
480.468750,0.281565,0.013557
483.398438,0.223139,0.010744
486.328125,0.106056,0.005107
489.257812,0.200148,0.009637
492.187500,0.258788,0.012461
495.117188,0.102569,0.004939
498.046875,0.171159,0.008241
