frequency_hz,magnitude,magnitude_normalized
0.000000,1.505600,0.004320
2.929688,1.514176,0.004345
5.859375,1.484818,0.004261
8.789062,1.597024,0.004583
11.718750,1.505737,0.004321
14.648438,1.459865,0.004189
17.578125,1.444021,0.004144
20.507812,1.270097,0.003645
23.437500,1.591060,0.004566
26.367188,3.726157,0.010693
29.296875,3.712129,0.010652
32.226562,4.199004,0.012049
35.156250,3.800155,0.010905
38.085938,11.056054,0.031726
41.015625,4.317257,0.012389
43.945312,18.199339,0.052225
46.875000,6.300680,0.018080
49.804688,10.094917,0.028968
52.734375,14.092435,0.040440
55.664062,37.552004,0.107759
58.593750,2.229091,0.006397
61.523438,5.059552,0.014519
64.453125,6.122647,0.017569
67.382812,8.488332,0.024358
70.312500,9.482550,0.027211
73.242188,4.485406,0.012871
76.171875,5.397509,0.015489
79.101562,9.401498,0.026978
82.031250,4.917905,0.014112
84.960938,1.171409,0.003361
87.890625,1.073434,0.003080
90.820312,2.172718,0.006235
93.750000,2.192487,0.006292
96.679688,1.022584,0.002934
99.609375,3.433955,0.009854
102.539062,2.670957,0.007665
105.468750,0.585196,0.001679
108.398438,2.995114,0.008595
111.328125,1.007858,0.002892
114.257812,2.118414,0.006079
117.187500,3.135043,0.008996
120.117188,3.038651,0.008720
123.046875,2.327359,0.006679
125.976562,2.470256,0.007089
128.906250,2.140229,0.006142
131.835938,2.645325,0.007591
134.765625,2.236342,0.006417
137.695312,2.223828,0.006381
140.625000,2.964417,0.008507
143.554688,2.364980,0.006787
146.484375,2.462174,0.007065
149.414062,0.740020,0.002124
152.343750,2.147551,0.006163
155.273438,1.555775,0.004464
158.203125,4.950144,0.014205
161.132812,2.424760,0.006958
164.062500,2.201382,0.006317
166.992188,2.918444,0.008375
169.921875,1.433196,0.004113
172.851562,3.435384,0.009858
175.781250,2.579171,0.007401
178.710938,3.299481,0.009468
181.640625,2.972439,0.008530
184.570312,3.290173,0.009441
187.500000,3.261686,0.009360
190.429688,3.810381,0.010934
193.359375,3.321279,0.009531
196.289062,4.065065,0.011665
199.218750,3.996218,0.011468
202.148438,3.934066,0.011289
205.078125,3.537018,0.010150
208.007812,4.323933,0.012408
210.937500,4.412722,0.012663
213.867188,5.037721,0.014456
216.796875,5.663958,0.016253
219.726562,5.645681,0.016201
222.656250,5.938123,0.017040
225.585938,6.912071,0.019835
228.515625,7.103835,0.020385
231.445312,7.601156,0.021812
234.375000,7.960057,0.022842
237.304688,9.299394,0.026685
240.234375,9.995098,0.028682
243.164062,11.581225,0.033233
246.093750,13.834314,0.039699
249.023438,18.140426,0.052056
251.953125,22.816610,0.065474
254.882812,33.093737,0.094966
257.812500,59.558262,0.170908
260.742188,348.481622,1.000000
263.671875,90.359388,0.259295
266.601562,39.770634,0.114125
269.531250,23.802820,0.068304
272.460938,18.266046,0.052416
275.390625,14.214025,0.040788
278.320312,12.079529,0.034663
281.250000,10.544692,0.030259
284.179688,9.046240,0.025959
287.109375,7.469791,0.021435
290.039062,6.905143,0.019815
292.968750,6.619386,0.018995
295.898438,5.420975,0.015556
298.828125,5.327311,0.015287
301.757812,4.267745,0.012247
304.687500,4.060443,0.011652
307.617188,5.044192,0.014475
310.546875,4.004205,0.011490
313.476562,3.460109,0.009929
316.406250,3.599695,0.010330
319.335938,3.377639,0.009692
322.265625,3.703040,0.010626
325.195312,2.851003,0.008181
328.125000,2.116167,0.006073
331.054688,2.518090,0.007226
333.984375,2.462846,0.007067
336.914062,3.049092,0.008750
339.843750,2.627617,0.007540
342.773438,3.183539,0.009135
345.703125,3.839135,0.011017
348.632812,21.538552,0.061807
351.562500,6.476503,0.018585
354.492188,3.024249,0.008678
357.421875,2.917737,0.008373
360.351562,1.554863,0.004462
363.281250,2.054340,0.005895
366.210938,1.698397,0.004874
369.140625,1.539152,0.004417
372.070312,1.658132,0.004758
375.000000,1.427668,0.004097
377.929688,1.421176,0.004078
380.859375,1.061984,0.003047
383.789062,1.244296,0.003571
386.718750,1.172662,0.003365
389.648438,1.156378,0.003318
392.578125,1.048000,0.003007
395.507812,1.071040,0.003073
398.437500,1.071666,0.003075
401.367188,0.612648,0.001758
404.296875,1.242693,0.003566
407.226562,1.048887,0.003010
410.156250,1.084521,0.003112
413.085938,1.110018,0.003185
416.015625,0.874120,0.002508
418.945312,1.080181,0.003100
421.875000,0.807153,0.002316
424.804688,0.779045,0.002236
427.734375,0.561466,0.001611
430.664062,0.752714,0.002160
433.593750,0.937964,0.002692
436.523438,0.761436,0.002185
439.453125,0.252395,0.000724
442.382812,0.473452,0.001359
445.312500,0.661142,0.001897
448.242188,0.404678,0.001161
451.171875,0.291427,0.000836
454.101562,0.137032,0.000393
457.031250,0.282155,0.000810
459.960938,0.454915,0.001305
462.890625,0.422639,0.001213
465.820312,0.332336,0.000954
468.750000,0.594292,0.001705
471.679688,0.379115,0.001088
474.609375,0.308409,0.000885
477.539062,0.432034,0.001240
480.468750,0.213578,0.000613
483.398438,0.356911,0.001024
486.328125,0.300124,0.000861
489.257812,0.667142,0.001914
492.187500,0.840464,0.002412
495.117188,0.554568,0.001591
498.046875,0.672035,0.001928
500.976562,0.785258,0.002253
503.906250,1.317664,0.003781
506.835938,1.460101,0.004190
509.765625,2.323140,0.006666
512.695312,2.411966,0.006921
515.625000,4.141285,0.011884
518.554688,7.308480,0.020972
521.484375,22.054043,0.063286
524.414062,25.489391,0.073144
527.343750,8.971946,0.025746
530.273438,5.931508,0.017021
533.203125,3.501369,0.010047
536.132812,3.130705,0.008984
539.062500,2.781315,0.007981
541.992188,2.541063,0.007292
544.921875,1.920784,0.005512
547.851562,2.205150,0.006328
550.781250,1.701414,0.004882
553.710938,1.806013,0.005183
556.640625,1.741955,0.004999
559.570312,1.605324,0.004607
562.500000,1.641771,0.004711
565.429688,1.272183,0.003651
568.359375,1.209133,0.003470
571.289062,1.356561,0.003893
574.218750,1.055661,0.003029
577.148438,1.159143,0.003326
580.078125,1.035111,0.002970
583.007812,0.999066,0.002867
585.937500,1.138936,0.003268
588.867188,1.065611,0.003058
591.796875,1.087285,0.003120
594.726562,0.808222,0.002319
597.656250,0.764988,0.002195
600.585938,0.998043,0.002864
603.515625,0.875895,0.002513
606.445312,0.901459,0.002587
609.375000,0.965529,0.002771
612.304688,1.096849,0.003148
615.234375,0.587341,0.001685
618.164062,0.768090,0.002204
621.093750,0.850302,0.002440
624.023438,0.988149,0.002836
626.953125,0.902211,0.002589
629.882812,0.830852,0.002384
632.812500,0.568619,0.001632
635.742188,0.875071,0.002511
638.671875,0.842306,0.002417
641.601562,0.767474,0.002202
644.531250,0.642257,0.001843
647.460938,0.781386,0.002242
650.390625,0.971826,0.002789
653.320312,0.761618,0.002186
656.250000,0.942917,0.002706
659.179688,1.097645,0.003150
662.109375,0.803139,0.002305
665.039062,0.961724,0.002760
667.968750,0.990147,0.002841
670.898438,1.044548,0.002997
673.828125,0.967202,0.002775
676.757812,1.076070,0.003088
679.687500,1.090717,0.003130
682.617188,1.263422,0.003626
685.546875,1.494943,0.004290
688.476562,1.733038,0.004973
691.406250,2.237240,0.006420
694.335938,3.663850,0.010514
697.265625,11.436766,0.032819
700.195312,7.774210,0.022309
703.125000,2.847596,0.008171
706.054688,1.614351,0.004633
708.984375,1.040719,0.002986
711.914062,0.992149,0.002847
714.843750,0.686241,0.001969
717.773438,0.664258,0.001906
720.703125,0.556147,0.001596
723.632812,0.398857,0.001145
726.562500,0.432075,0.001240
729.492188,0.261634,0.000751
732.421875,0.380370,0.001092
735.351562,0.264979,0.000760
738.281250,0.169221,0.000486
741.210938,0.170887,0.000490
744.140625,0.166709,0.000478
747.070312,0.163307,0.000469
750.000000,0.296541,0.000851
752.929688,0.225303,0.000647
755.859375,0.247823,0.000711
758.789062,0.240245,0.000689
761.718750,0.284632,0.000817
