frequency_hz,magnitude,magnitude_normalized
0.000000,2.836975,0.008233
2.929688,2.829880,0.008212
5.859375,2.801105,0.008129
8.789062,2.931236,0.008507
11.718750,2.747605,0.007974
14.648438,2.720948,0.007896
17.578125,2.534927,0.007356
20.507812,2.671885,0.007754
23.437500,2.072443,0.006014
26.367188,2.548504,0.007396
29.296875,4.219082,0.012244
32.226562,2.431633,0.007057
35.156250,5.006708,0.014530
38.085938,29.987153,0.087024
41.015625,10.458564,0.030351
43.945312,8.794249,0.025521
46.875000,10.547038,0.030608
49.804688,17.908505,0.051971
52.734375,17.419086,0.050551
55.664062,32.104308,0.093169
58.593750,1.802291,0.005230
61.523438,4.106996,0.011919
64.453125,5.764220,0.016728
67.382812,5.956660,0.017287
70.312500,4.362121,0.012659
73.242188,7.525779,0.021840
76.171875,5.213238,0.015129
79.101562,15.062098,0.043711
82.031250,21.233014,0.061619
84.960938,6.271565,0.018200
87.890625,2.318125,0.006727
90.820312,0.616528,0.001789
93.750000,1.243914,0.003610
96.679688,2.062454,0.005985
99.609375,0.845496,0.002454
102.539062,0.247636,0.000719
105.468750,0.839543,0.002436
108.398438,1.236528,0.003588
111.328125,1.690466,0.004906
114.257812,1.939813,0.005629
117.187500,1.096435,0.003182
120.117188,1.804702,0.005237
123.046875,1.689420,0.004903
125.976562,1.498638,0.004349
128.906250,1.547734,0.004492
131.835938,1.581799,0.004590
134.765625,1.243936,0.003610
137.695312,1.969419,0.005715
140.625000,1.374464,0.003989
143.554688,1.968849,0.005714
146.484375,2.876287,0.008347
149.414062,2.740016,0.007952
152.343750,2.250142,0.006530
155.273438,2.225589,0.006459
158.203125,1.868889,0.005424
161.132812,2.893308,0.008397
164.062500,2.444544,0.007094
166.992188,2.805824,0.008143
169.921875,2.942626,0.008540
172.851562,2.906749,0.008436
175.781250,2.162886,0.006277
178.710938,2.520711,0.007315
181.640625,3.126668,0.009074
184.570312,3.369434,0.009778
187.500000,3.098049,0.008991
190.429688,3.277140,0.009510
193.359375,3.658480,0.010617
196.289062,3.754615,0.010896
199.218750,3.534339,0.010257
202.148438,4.178929,0.012127
205.078125,4.054973,0.011768
208.007812,4.362993,0.012662
210.937500,4.729449,0.013725
213.867188,4.389098,0.012737
216.796875,5.804604,0.016845
219.726562,5.672163,0.016461
222.656250,6.231935,0.018085
225.585938,6.491988,0.018840
228.515625,7.007954,0.020337
231.445312,7.184601,0.020850
234.375000,7.945166,0.023057
237.304688,8.976883,0.026051
240.234375,11.107985,0.032236
243.164062,11.693057,0.033934
246.093750,13.718078,0.039811
249.023438,17.841492,0.051777
251.953125,23.084602,0.066993
254.882812,32.766969,0.095092
257.812500,58.911584,0.170965
260.742188,344.583282,1.000000
263.671875,87.143053,0.252894
266.601562,38.231561,0.110950
269.531250,23.554347,0.068356
272.460938,18.267003,0.053012
275.390625,14.529099,0.042164
278.320312,12.335263,0.035798
281.250000,10.468893,0.030381
284.179688,9.360901,0.027166
287.109375,8.268427,0.023995
290.039062,8.437667,0.024487
292.968750,7.752288,0.022498
295.898438,7.875495,0.022855
298.828125,8.606267,0.024976
301.757812,10.561232,0.030649
304.687500,15.752194,0.045714
307.617188,31.194742,0.090529
310.546875,242.764362,0.704516
313.476562,35.788722,0.103861
316.406250,17.133279,0.049722
319.335938,11.755175,0.034114
322.265625,8.713037,0.025286
325.195312,6.746722,0.019579
328.125000,6.535170,0.018965
331.054688,5.804987,0.016846
333.984375,5.362414,0.015562
336.914062,4.567493,0.013255
339.843750,3.970663,0.011523
342.773438,4.000394,0.011609
345.703125,3.483118,0.010108
348.632812,3.439862,0.009983
351.562500,2.898338,0.008411
354.492188,3.062775,0.008888
357.421875,3.699520,0.010736
360.351562,2.669227,0.007746
363.281250,2.489861,0.007226
366.210938,2.584909,0.007502
369.140625,2.631826,0.007638
372.070312,2.501048,0.007258
375.000000,2.234357,0.006484
377.929688,2.052621,0.005957
380.859375,2.050938,0.005952
383.789062,1.601265,0.004647
386.718750,2.055726,0.005966
389.648438,1.812164,0.005259
392.578125,1.785735,0.005182
395.507812,1.868222,0.005422
398.437500,1.821567,0.005286
401.367188,1.690320,0.004905
404.296875,1.711106,0.004966
407.226562,1.695233,0.004920
410.156250,1.456180,0.004226
413.085938,1.355855,0.003935
416.015625,1.495645,0.004340
418.945312,1.182372,0.003431
421.875000,1.275170,0.003701
424.804688,1.243615,0.003609
427.734375,1.287381,0.003736
430.664062,1.338096,0.003883
433.593750,1.326526,0.003850
436.523438,1.218710,0.003537
439.453125,1.049834,0.003047
442.382812,1.336114,0.003877
445.312500,1.269098,0.003683
448.242188,0.859001,0.002493
451.171875,1.218479,0.003536
454.101562,1.231456,0.003574
457.031250,1.052462,0.003054
459.960938,1.104499,0.003205
462.890625,1.100945,0.003195
465.820312,0.907035,0.002632
468.750000,1.214626,0.003525
471.679688,1.005190,0.002917
474.609375,1.199712,0.003482
