frequency_hz,magnitude,magnitude_normalized
0.000000,0.175308,0.007159
2.929688,0.187327,0.007650
5.859375,0.208820,0.008528
8.789062,0.252965,0.010331
11.718750,0.301751,0.012323
14.648438,0.346240,0.014140
17.578125,0.423583,0.017298
20.507812,0.480076,0.019605
23.437500,0.651352,0.026600
26.367188,0.723042,0.029528
29.296875,1.173636,0.047929
32.226562,2.229992,0.091069
35.156250,2.476790,0.101148
38.085938,1.607977,0.065667
41.015625,3.347532,0.136707
43.945312,24.486849,1.000000
46.875000,8.575063,0.350191
49.804688,3.259955,0.133131
52.734375,2.022296,0.082587
55.664062,6.607468,0.269837
58.593750,4.070430,0.166229
61.523438,2.758597,0.112656
64.453125,0.976533,0.039880
67.382812,2.874478,0.117389
70.312500,2.157194,0.088096
73.242188,3.221212,0.131549
76.171875,2.044654,0.083500
79.101562,5.018128,0.204932
82.031250,7.777907,0.317636
84.960938,2.558556,0.104487
87.890625,2.256704,0.092160
90.820312,2.703587,0.110410
93.750000,1.275942,0.052107
96.679688,0.274498,0.011210
99.609375,2.804859,0.114546
102.539062,1.185970,0.048433
105.468750,0.877577,0.035839
108.398438,0.337136,0.013768
111.328125,0.557847,0.022781
114.257812,1.002512,0.040941
117.187500,0.247824,0.010121
120.117188,0.473596,0.019341
123.046875,0.853864,0.034870
125.976562,0.624586,0.025507
128.906250,0.408136,0.016668
131.835938,0.806363,0.032930
134.765625,0.404732,0.016529
137.695312,0.389850,0.015921
140.625000,0.771520,0.031508
143.554688,0.673973,0.027524
146.484375,0.440077,0.017972
149.414062,1.515484,0.061890
152.343750,0.853240,0.034845
155.273438,0.232872,0.009510
158.203125,0.471715,0.019264
161.132812,0.209749,0.008566
164.062500,0.280590,0.011459
166.992188,0.468094,0.019116
169.921875,0.395963,0.016170
172.851562,0.273332,0.011162
175.781250,0.209117,0.008540
178.710938,0.699609,0.028571
181.640625,0.167556,0.006843
184.570312,0.271026,0.011068
187.500000,0.450448,0.018396
190.429688,0.298653,0.012196
193.359375,0.493962,0.020173
196.289062,0.498644,0.020364
199.218750,0.326560,0.013336
202.148438,0.550580,0.022485
205.078125,0.603996,0.024666
208.007812,0.291827,0.011918
210.937500,0.449608,0.018361
213.867188,0.173461,0.007084
216.796875,0.305378,0.012471
219.726562,0.089125,0.003640
222.656250,0.352634,0.014401
225.585938,0.146855,0.005997
228.515625,0.351701,0.014363
231.445312,0.347363,0.014186
234.375000,0.493213,0.020142
237.304688,0.400976,0.016375
240.234375,0.465226,0.018999
243.164062,0.165946,0.006777
246.093750,0.218198,0.008911
249.023438,0.325417,0.013289
251.953125,0.134683,0.005500
254.882812,0.310519,0.012681
257.812500,0.240688,0.009829
260.742188,0.279019,0.011395
263.671875,0.325455,0.013291
266.601562,0.273711,0.011178
269.531250,0.185898,0.007592
272.460938,0.204404,0.008347
275.390625,0.289786,0.011834
278.320312,0.126462,0.005165
281.250000,0.346615,0.014155
284.179688,0.325357,0.013287
287.109375,0.310105,0.012664
290.039062,0.227500,0.009291
292.968750,0.318343,0.013001
295.898438,0.241858,0.009877
298.828125,0.250008,0.010210
301.757812,0.093451,0.003816
304.687500,0.408649,0.016689
307.617188,0.239599,0.009785
310.546875,0.286288,0.011692
313.476562,0.129889,0.005304
316.406250,0.057370,0.002343
319.335938,0.340625,0.013911
322.265625,0.111297,0.004545
325.195312,0.255365,0.010429
328.125000,0.122544,0.005004
331.054688,0.448447,0.018314
333.984375,0.035390,0.001445
336.914062,0.210480,0.008596
339.843750,0.293786,0.011998
342.773438,0.162600,0.006640
345.703125,0.223010,0.009107
348.632812,0.367670,0.015015
351.562500,0.225687,0.009217
354.492188,0.122847,0.005017
357.421875,0.515936,0.021070
360.351562,0.284162,0.011605
363.281250,0.300854,0.012286
366.210938,0.235405,0.009614
369.140625,0.173589,0.007089
372.070312,0.337117,0.013767
375.000000,0.207227,0.008463
377.929688,0.185332,0.007569
380.859375,0.134459,0.005491
383.789062,0.221194,0.009033
386.718750,0.431335,0.017615
389.648438,0.330960,0.013516
392.578125,0.285216,0.011648
395.507812,0.021288,0.000869
398.437500,0.266079,0.010866
401.367188,0.152967,0.006247
404.296875,0.132979,0.005431
407.226562,0.257316,0.010508
410.156250,0.302117,0.012338
413.085938,0.148394,0.006060
416.015625,0.082843,0.003383
418.945312,0.379665,0.015505
421.875000,0.431557,0.017624
424.804688,0.260574,0.010641
427.734375,0.206048,0.008415
430.664062,0.253670,0.010359
433.593750,0.429389,0.017535
436.523438,0.269816,0.011019
439.453125,0.194999,0.007963
442.382812,0.043819,0.001789
445.312500,0.256374,0.010470
448.242188,0.151322,0.006180
451.171875,0.434598,0.017748
454.101562,0.582570,0.023791
457.031250,0.672536,0.027465
459.960938,0.946703,0.038662
462.890625,1.964857,0.080241
465.820312,9.369301,0.382626
468.750000,1.878971,0.076734
471.679688,1.040688,0.042500
474.609375,0.829329,0.033868
477.539062,0.355717,0.014527
480.468750,0.303324,0.012387
483.398438,0.373423,0.015250
486.328125,0.463711,0.018937
489.257812,0.456484,0.018642
492.187500,0.349628,0.014278
495.117188,0.277320,0.011325
498.046875,0.255003,0.010414
500.976562,0.161047,0.006577
503.906250,0.202157,0.008256
506.835938,0.174985,0.007146
509.765625,0.174508,0.007127
512.695312,0.290004,0.011843
515.625000,0.170406,0.006959
518.554688,0.189479,0.007738
521.484375,0.119305,0.004872
524.414062,0.087731,0.003583
527.343750,0.179231,0.007319
530.273438,0.173138,0.007071
533.203125,0.165629,0.006764
536.132812,0.119995,0.004900
539.062500,0.134565,0.005495
541.992188,0.104372,0.004262
544.921875,0.104914,0.004285
547.851562,0.107850,0.004404
550.781250,0.117488,0.004798
553.710938,0.148494,0.006064
556.640625,0.173116,0.007070
559.570312,0.129115,0.005273
562.500000,0.157995,0.006452
565.429688,0.204417,0.008348
568.359375,0.140625,0.005743
571.289062,0.050319,0.002055
574.218750,0.088051,0.003596
577.148438,0.084244,0.003440
580.078125,0.107851,0.004404
583.007812,0.106777,0.004361
585.937500,0.110658,0.004519
588.867188,0.145569,0.005945
591.796875,0.133473,0.005451
594.726562,0.159258,0.006504
597.656250,0.122550,0.005005
600.585938,0.091736,0.003746
603.515625,0.137600,0.005619
606.445312,0.150388,0.006142
609.375000,0.139422,0.005694
612.304688,0.131346,0.005364
615.234375,0.082731,0.003379
618.164062,0.134158,0.005479
621.093750,0.098241,0.004012
624.023438,0.131707,0.005379
626.953125,0.142752,0.005830
629.882812,0.128136,0.005233
632.812500,0.165556,0.006761
635.742188,0.171274,0.006995
638.671875,0.125808,0.005138
641.601562,0.138877,0.005672
644.531250,0.090106,0.003680
647.460938,0.129435,0.005286
650.390625,0.116813,0.004770
653.320312,0.099808,0.004076
656.250000,0.185392,0.007571
